date,temperature,uncertainty,month,year
1750-01-01,3.0340000000000003,3.574,1,1750
1750-02-01,3.083,3.702,2,1750
1750-03-01,5.626,3.076,3,1750
1750-04-01,8.49,2.451,4,1750
1750-05-01,11.573,2.072,5,1750
1750-06-01,12.937,1.724,6,1750
1750-07-01,15.868,1.911,7,1750
1750-08-01,14.75,2.231,8,1750
1750-09-01,11.412999999999998,2.637,9,1750
1750-10-01,6.366999999999999,2.668,10,1750
1750-12-01,2.772,2.97,12,1750
1751-01-01,2.495,3.469,1,1751
1751-02-01,0.963,3.827,2,1751
1751-03-01,5.8,3.051,3,1751
1751-04-01,7.67,2.3680000000000003,4,1751
1751-06-01,13.827,1.801,6,1751
1751-08-01,14.405,2.296,8,1751
1751-09-01,10.673,2.656,9,1751
1752-01-01,0.3480000000000003,3.789,1,1752
1752-03-01,5.806,3.192,3,1752
1752-04-01,8.264999999999999,2.398,4,1752
1752-10-01,7.838999999999999,2.754,10,1752
1752-11-01,7.335,2.747,11,1752
1752-12-01,5.086,2.982,12,1752
1753-01-01,2.039,3.478,1,1753
1753-02-01,0.7149999999999999,6.341,2,1753
1753-03-01,5.424,2.929,3,1753
1753-04-01,8.272,3.177,4,1753
1753-05-01,12.186,3.111,5,1753
1753-06-01,14.585,2.59,6,1753
1753-07-01,15.092,1.929,7,1753
1753-08-01,14.148,2.4530000000000003,8,1753
1753-09-01,13.322,2.5380000000000003,9,1753
1753-10-01,8.962,2.585,10,1753
1753-11-01,5.353,2.807,11,1753
1753-12-01,0.5589999999999997,4.174,12,1753
1754-01-01,1.574,5.02,1,1754
1754-02-01,-1.2489999999999997,7.492000000000001,2,1754
1754-03-01,3.677,3.3360000000000003,3,1754
1754-04-01,11.61,3.293,4,1754
1754-05-01,11.936,3.937,5,1754
1754-06-01,14.388,3.366,6,1754
1754-07-01,14.681,2.401,7,1754
1754-08-01,13.556,1.892,8,1754
1754-09-01,11.129,2.318,9,1754
1754-10-01,9.582,2.529,10,1754
1754-11-01,6.1610000000000005,3.048,11,1754
1754-12-01,4.587,3.299,12,1754
1755-01-01,1.067,4.6930000000000005,1,1755
1755-02-01,-0.1080000000000001,5.857,2,1755
1755-03-01,3.607,3.909,3,1755
1755-04-01,9.263,3.372,4,1755
1755-05-01,12.880999999999998,4.151,5,1755
1755-06-01,15.38,5.322,6,1755
1755-07-01,14.397,1.936,7,1755
1755-08-01,13.515,2.381,8,1755
1755-09-01,11.773,3.4160000000000004,9,1755
